ProteinA,ProteinB,Label
protein1747,protein2157,1
protein144,protein1921,1
protein2590,protein2356,1
protein33,protein799,1
protein2374,protein1697,1
protein655,protein1534,1
protein2092,protein332,1
protein278,protein428,1
protein1348,protein1843,1
protein352,protein829,1
protein1905,protein1901,1
protein2753,protein1320,1
protein701,protein2784,1
protein105,protein369,1
protein2070,protein2599,1
protein1949,protein2071,1
protein1973,protein695,1
protein2354,protein419,1
protein2781,protein1729,1
protein414,protein2653,1
protein2051,protein65,1
protein814,protein1760,1
protein861,protein2687,1
protein1623,protein414,1
protein345,protein2614,1
protein2620,protein2071,1
protein400,protein2244,1
protein1992,protein1112,1
protein1298,protein276,1
protein1841,protein2188,1
protein2071,protein176,1
protein2771,protein965,1
protein2045,protein67,1
protein2760,protein2638,1
protein2510,protein2091,1
protein1370,protein2665,1
protein512,protein276,1
protein46,protein254,1
protein316,protein1662,1
protein353,protein785,1
protein84,protein865,1
protein1812,protein1881,1
protein945,protein192,1
protein1620,protein2631,1
protein1473,protein525,1
protein2651,protein612,1
protein959,protein2514,1
protein1758,protein332,1
protein2202,protein7,1
protein1121,protein2790,1
protein2138,protein2773,1
protein1340,protein1269,1
protein2242,protein2438,1
protein1881,protein1411,1
protein2272,protein2110,1
protein447,protein687,1
protein2632,protein1780,1
protein2280,protein375,1
protein2356,protein2429,1
protein409,protein928,1
protein696,protein2155,1
protein2830,protein2088,1
protein2540,protein505,1
protein352,protein144,1
protein2096,protein1801,1
protein1577,protein1987,1
protein1086,protein1877,1
protein560,protein614,1
protein2753,protein1949,1
protein2690,protein1407,1
protein2572,protein1599,1
protein2237,protein1883,1
protein227,protein2242,1
protein627,protein809,1
protein1414,protein2044,1
protein1121,protein2497,1
protein1317,protein1050,1
protein2356,protein360,1
protein1187,protein144,1
protein2451,protein2340,1
protein2549,protein2411,1
protein1955,protein2071,1
protein273,protein762,1
protein922,protein2048,1
protein2790,protein1081,1
protein1371,protein1993,1
protein2088,protein861,1
protein411,protein1088,1
protein2356,protein2517,1
protein896,protein1941,1
protein617,protein2563,1
protein1078,protein1941,1
protein2461,protein298,1
protein678,protein282,1
protein2724,protein723,1
protein2578,protein477,1
protein1371,protein2214,1
protein1767,protein1071,1
protein2800,protein2558,1
protein723,protein2790,1
protein1922,protein1983,1
protein659,protein63,1
protein835,protein2242,1
protein1920,protein64,1
protein2099,protein2340,1
protein2372,protein2643,1
protein814,protein2599,1
protein1767,protein2456,1
protein1298,protein2116,1
protein2652,protein1989,1
protein1493,protein2631,1
protein34,protein400,1
protein2456,protein1199,1
protein1773,protein2356,1
protein2399,protein512,1
protein376,protein710,1
protein1200,protein2346,1
protein2242,protein161,1
protein2593,protein1550,1
protein2389,protein863,1
protein1054,protein2045,1
protein2305,protein1249,1
protein1921,protein9,1
protein2192,protein1580,1
protein2577,protein2335,1
protein2344,protein2356,1
protein655,protein2229,1
protein968,protein2503,1
protein2345,protein353,1
protein1721,protein1510,1
protein2611,protein385,1
protein2071,protein400,1
protein2707,protein653,1
protein829,protein1206,1
protein229,protein2356,1
protein577,protein1886,1
protein1048,protein216,1
protein400,protein1754,1
protein1313,protein713,1
protein2414,protein406,1
protein1172,protein2544,1
protein1112,protein1926,1
protein64,protein625,1
protein1315,protein1882,1
protein1088,protein1081,1
protein1405,protein1341,1
protein1847,protein769,1
protein1562,protein1548,1
protein1511,protein231,1
protein2188,protein956,1
protein144,protein2735,1
protein1763,protein2790,1
protein2369,protein1548,1
protein2668,protein2540,1
protein1152,protein276,1
protein2170,protein414,1
protein645,protein2146,1
protein1112,protein1159,1
protein1086,protein904,1
protein173,protein785,1
protein695,protein340,1
protein353,protein1609,1
protein1676,protein487,1
protein1741,protein2058,1
protein1586,protein1930,1
protein2337,protein537,1
protein355,protein1632,1
protein2336,protein710,1
protein583,protein46,1
protein0,protein1898,1
protein2461,protein2526,1
protein1382,protein352,1
protein2110,protein1278,1
protein955,protein551,1
protein162,protein1462,1
protein1972,protein2577,1
protein202,protein2051,1
protein2110,protein2171,1
protein1523,protein2564,1
protein2276,protein2356,1
protein1464,protein2482,1
protein1591,protein30,1
protein2629,protein670,1
protein1052,protein1563,1
protein1278,protein1685,1
protein1767,protein470,1
protein1493,protein1624,1
protein144,protein2588,1
protein474,protein0,1
protein1431,protein1898,1
protein1748,protein713,1
protein2640,protein2057,1
protein2307,protein2470,1
protein1637,protein740,1
protein2516,protein2029,1
protein7,protein334,1
protein0,protein2268,1
protein2319,protein2102,1
protein1200,protein1426,1
protein2233,protein1881,1
protein1333,protein2280,1
protein276,protein1965,1
protein2572,protein2156,1
protein1668,protein2451,1
protein276,protein360,1
protein407,protein2419,1
protein1187,protein258,1
protein1240,protein402,1
protein1304,protein1796,1
protein1734,protein715,1
protein814,protein1178,1
protein2397,protein962,1
protein802,protein2366,1
protein505,protein2370,1
protein2356,protein1851,1
protein400,protein1713,1
protein961,protein286,1
protein718,protein276,1
protein1093,protein2572,1
protein277,protein118,1
protein273,protein1599,1
protein567,protein2158,1
protein2266,protein452,1
protein2104,protein2266,1
protein2340,protein2432,1
protein1301,protein1888,1
protein1420,protein614,1
protein1847,protein84,1
protein2568,protein2315,1
protein1145,protein2527,1
protein998,protein1487,1
protein2707,protein2336,1
protein428,protein2654,1
protein1397,protein2332,1
protein1166,protein1293,1
protein2176,protein1298,1
protein693,protein2557,1
protein1823,protein1172,1
protein2451,protein696,1
protein2639,protein1024,1
protein414,protein905,1
protein1824,protein144,1
protein693,protein998,1
protein502,protein1258,1
protein2152,protein876,1
protein1391,protein2697,1
protein1768,protein1308,1
protein1609,protein1437,1
protein2570,protein185,1
protein2681,protein1308,1
protein2451,protein1609,1
protein2047,protein2071,1
protein2275,protein2544,1
protein2346,protein2071,1
protein2460,protein89,1
protein2243,protein474,1
protein2572,protein187,1
protein1609,protein1298,1
protein2352,protein2290,1
protein1981,protein1275,1
protein72,protein171,1
protein1689,protein1609,1
protein2239,protein2004,1
protein835,protein2503,1
protein618,protein2442,1
protein1096,protein443,1
protein2317,protein1480,1
protein2356,protein2346,1
protein1278,protein2085,1
protein2368,protein2750,1
protein47,protein46,1
protein2247,protein2760,1
protein2629,protein2456,1
protein2351,protein876,1
protein176,protein1119,1
protein1858,protein2568,1
protein0,protein265,1
protein303,protein1654,1
protein1855,protein2291,1
protein1920,protein2336,1
protein472,protein2518,1
protein1368,protein2155,1
protein2073,protein64,1
protein1409,protein2399,1
protein2071,protein1763,1
protein1178,protein850,1
protein718,protein2559,1
protein2051,protein1006,1
protein247,protein328,1
protein2017,protein2264,1
protein769,protein1466,1
protein2707,protein64,1
protein290,protein1106,1
protein2340,protein1049,1
protein1023,protein474,1
protein2461,protein349,1
protein429,protein1191,1
protein485,protein685,1
protein2370,protein2147,1
protein300,protein1921,1
protein2205,protein2216,1
