ProteinA,ProteinB,Label
P15822,Q20MH4,1
F1T0G5,Q9Q0U8,0
Q6ZN11,P03427,0
Q96S59,Q6DPG0,0
P01911,Q0A2M3,0
P0C645,Q1K9H5,0
Q96NF6,P0DOF8,0
Q8NHC8,Q8JSN5,0
Q9UKQ9,Q20MD1,0
Q68D51,Q9YXL6,0
P08727,A4ZNQ3,0
Q9H095,Q30NP4,0
Q9P2H5,P69277,0
Q8WVH0,Q5V8Z9,0
O75410,H9XIJ5,1
Q9UGL9,Q6VE52,0
P50749,Q0A2H0,0
Q8WYH8,Q8QPK2,0
P0CG22,Q20NX5,0
Q92925,Q0A442,0
Q99814,Q8JSN5,0
P54253,Q33CG5,0
Q86X24,P03427,0
Q9P0S9,B4URE7,0
Q96EB6,Q1WDM0,0
A0A087WTH1,P03495,0
Q13905,Q20MD1,0
Q13126,P03466,1
Q9NPP4,Q8QPK2,1
Q8ND82,Q8JSN8,0
P78559,Q8JSN5,1
P43308,Q9WPI5,0
O15226,Q2PJP0,1
Q9C075,Q20NX5,0
F5H7A5,A8C8W5,0
Q8N8V2,P03431,0
O95429,Q0HD54,0
Q96RT7,Q0A442,0
A0A075B6J9,Q38SQ2,0
Q8N436,P03437,0
Q8IYU4,P03496,0
Q8N1N0,Q9YXL6,0
Q9Y603,Q33CG5,0
Q9Y6R1,Q91LS8,0
Q8NE35,P31343,0
P27986,P69277,1
P00797,P06821,0
Q6GPI1,B4URF0,0
O95239,B2BUI7,0
Q9Y266,Q8JSN5,0
Q9UDY8,Q2PJP1,0
Q9NRN7,P69277,0
Q6IPR1,O92551,0
Q2I0M5,A4ZNQ2,0
Q8WUX2,Q1K9H2,0
Q96SQ7,P03431,0
O15258,Q6PNE5,0
Q96KX2,Q6PNE5,0
Q86VX2,Q82506,0
Q99081,P03437,0
Q13562,O92551,0
Q7Z4B0,Q0A2H0,0
Q9BQ61,P03466,0
Q13033,Q1K9G9,1
P28070,B4URF7,1
Q9H4I2,Q9DLK6,0
Q5VTT2,H9XIJ5,1
Q13470,Q6DPA0,0
Q8TED4,Q67296,0
Q86UK0,P03452,0
A2RUG3,Q20MD1,0
Q6P1K8,Q20MC8,0
Q96IX5,H9XIJ5,0
Q96I59,Q91LS8,0
P10916,P03485,0
Q07326,Q2PJP1,0
A6NGC4,P26053,0
Q3SYF9,H9XIJ5,0
P01601,P0DOF4,0
Q16517,Q6DPU2,0
Q92540,P0DOF8,0
P28222,B2BUI7,0
Q9BZ19,B4URF6,0
O60308,Q9YXL3,0
Q9HBU1,Q6PNE5,0
Q9H190,Q6DNN3,0
Q8NH06,Q1K9I7,0
Q8N123,P11133,0
Q9HCG1,Q20MD1,0
Q8N448,P03431,1
Q8NGU9,C9S3S8,0
Q9Y6F6,P03427,0
Q9UJC3,P03428,1
P25815,Q1K9E2,0
Q9BS86,Q0A2H0,0
Q8N6R0,P03502,0
Q9H0C5,H9XIJ5,0
Q9BUB5,Q99AU3,0
Q9NZJ9,P31343,0
Q6NZ36,A4ZNQ3,0
Q12824,Q9Q0U7,0
P0DMU3,Q0A2M3,0
P63241,Q1K9H5,1
Q68D86,Q1K9I7,0
Q6NVU6,Q2PJP0,0
Q496M5,Q6DPA0,0
P54802,Q1K9H6,0
Q9BS18,Q8JSN8,1
Q6NXR0,Q20MH4,1
Q3SXZ7,Q3SBS5,0
Q15047,Q1K9H6,0
Q5TDH0,A5Z256,0
P05452,B2BUI7,0
Q96HZ4,P0DOF8,0
Q5VT40,P08276,0
Q53GL7,Q1WDM0,0
O95199,A4ZNP8,0
P08123,Q5L4H4,0
Q13322,Q6PNE5,0
O15287,Q67020,1
O60909,B4URF6,0
Q96PS6,C3W6D7,0
Q3MIT2,Q1I2B2,0
P45984,P03495,1
O14556,P03431,0
Q92750,P30910,0
P49368,Q20MH3,0
Q8NH04,Q8QPK2,0
Q15046,P31343,0
Q99836,P0DOF4,0
Q96SC8,Q9YP60,0
Q8IYD8,P03468,0
Q96KN2,A4D8X6,0
Q96A56,Q3SBS5,0
Q8J025,Q0A2H0,0
P16581,Q9Q0U8,0
Q5T8I9,Q9YXL6,0
Q6UX53,Q2PJP0,0
P49368,Q2RBU1,0
Q6EMK4,Q6DP93,0
Q6H3X3,P11133,0
P15923,Q9Q0U8,0
Q9P0M2,Q9DLK6,0
P49763,D1LN35,0
O43291,A0A0X9JHC1,0
P0CB48,Q6VE52,0
O75494,A0A0X9JHC1,0
P42766,Q1K9H2,1
Q9Y675,P03508,0
O00590,O56264,0
P54868,Q1K9I7,0
Q96NC0,B2BUI7,0
Q9H8H2,A7UPX0,0
Q16585,Q1K9H2,0
Q96JE7,P03431,0
Q8N5U0,P03502,0
Q9NP62,Q91LS8,0
Q86UY8,Q8JSN5,1
P54259,Q5QF18,0
Q8TE59,Q6DP93,0
Q8ND76,Q5L4H4,0
Q96MW5,Q0A2H1,1
P58180,P03452,0
O00370,P11133,0
P0CAP2,H6QM92,0
Q9NSK0,C9S3S8,0
Q8NFJ6,Q6DP93,0
Q3SY69,Q20MH8,1
B7Z8K6,Q9DLK6,0
Q9Y585,A4D8X6,0
Q9Y2B5,Q5QF18,0
Q8NAQ8,Q20P38,0
Q8TD90,Q2PJP1,0
P60981,P03428,0
P07108,Q5QF18,0
P0CJ87,Q20MH4,0
P55201,C3W5S7,0
Q8IZU1,Q2PJP0,0
Q9P225,A8C8W5,0
Q8N8R5,Q07FI1,0
P62068,P69277,0
A2NJV5,P03428,0
Q16518,B2BU63,0
Q13111,A4ZNQ2,0
Q8N0W7,Q91MA7,0
P06756,P03431,0
Q8WYP3,Q0A2H1,0
Q92800,H9XIJ5,0
Q86Y01,P11133,0
Q86WX3,Q0A2H0,0
Q9BZZ5,Q5L4H4,0
Q6IA69,P03496,0
A6NCL1,Q20P38,0
P17032,Q0A442,0
Q969W9,Q6DPA0,0
Q969Y0,Q5V8Z9,0
P08195,P03431,1
Q5TEZ4,B2BUI7,0
Q93038,P03508,0
O00299,Q30NP4,0
Q5VT99,Q38SQ9,0
O95716,A4ZNQ2,0
P17026,Q6PNE5,0
P04070,A4ZNP8,0
Q9Y534,Q5L4H4,0
P82663,Q1K9H2,1
Q969Z0,Q1K9H2,0
D6RGH6,Q20P38,0
Q13519,P26053,0
P19224,Q5V8Z9,0
P05771,Q20MC8,0
Q16661,Q20NX5,0
Q8N448,P03452,1
Q8TEQ0,O92551,0
O15539,Q38SQ2,0
Q9Y6Z7,Q20MH8,0
Q9P2B7,Q82506,0
A6NHL2,B4URF7,1
Q8N813,Q20MD2,0
P62829,Q0HD54,1
Q9BYR2,Q1K9E3,0
P08865,Q0A2H1,1
Q6RI45,P0DOF4,0
Q7L7L0,Q38SR2,0
Q93063,B2BUF1,0
Q3SY05,Q38SR2,0
P39687,P03452,0
P78369,P31343,0
Q6UW02,B4URA9,0
Q92527,Q9Q0U8,0
P0DMQ9,Q1K9E2,0
Q9HDB8,P0DOF8,0
Q8NE09,Q6DPG0,0
Q8NGB8,Q67296,0
Q2TAC2,A0A0X9JHC1,0
A2RU37,A8CDU0,0
Q14703,Q9Q0U7,0
Q9NQX0,Q3SBS5,0
Q8NBQ7,Q20MH8,0
Q9NRR1,Q8JSN8,0
Q86X55,P03502,0
Q6NVV9,Q33CG5,0
Q6WCQ1,H9XIJ5,0
Q9P2J5,Q20MC8,0
B7ZW38,Q20MD2,0
P47874,H6QM92,0
Q8IYB7,P03496,0
Q96JE7,P03508,0
Q7Z5K2,Q33CG5,0
Q5TZF3,Q1K9E2,0
P42127,Q6DNN3,0
Q8WUI4,Q6DP93,0
O60347,Q5QF18,0
A0A1B0GTY4,B2BU63,0
Q14541,P03437,0
Q8NC69,Q3SBS4,1
Q6ZN11,Q38SR2,0
P41159,A5Z256,0
O95998,Q9Q0U8,0
Q96DB5,A4ZNQ2,0
Q8WVX9,P03452,1
Q8NGG5,A4ZNQ3,0
Q8N149,Q9Q0U8,0
Q9H0A8,Q2F4V2,0
A0A075B6S4,Q6PNE5,0
P53667,P04664,0
P16452,P03466,0
Q13620,Q20MH8,1
Q68E01,D1LN35,0
Q9ULS5,B2BUI7,0
Q8N895,P0DOF4,0
Q99962,Q1K9I7,0
Q9Y5L0,A0A0X9JHC1,0
Q8WWR8,Q67296,0
Q8NB37,Q38SQ2,0
Q8ND76,Q9DLK6,0
Q53EQ6,P06821,0
Q53GD3,P06821,0
O14526,Q3SBS4,0
O75121,Q20NX5,0
Q9BWQ8,P03437,0
Q9HBH5,Q91LS8,0
P05129,Q0A2H1,0
Q8NGT5,Q2VC93,0
P25786,Q5V8Z9,0
O14646,B2BUF1,1
C9J069,Q20MH4,0
P48681,P69277,0
P0DMQ5,P03496,0
O60522,P08276,0
Q9Y5G6,Q6PNE5,0
Q8IYM1,Q03909,0
Q6UXN8,Q6DP93,0
Q9Y337,P03485,0
Q96MN2,P03468,0
Q7Z6Z6,Q5L4H4,0
Q96D46,Q5V8Z9,0
Q9UBX3,P03466,0
O94760,Q38SQ9,0
A8MV24,Q2F4V2,0
Q96AG3,Q6DPU2,0
Q8N4H0,Q20P38,0
O60237,P68043,0
Q92979,C3W5S7,0
Q6UXU0,P31343,0
Q6YI46,Q1K9E3,0
Q8TAP4,O56264,0
O60331,Q0A2M3,0
E7ERA6,Q5QF18,0
Q08ET2,Q5L4H4,0
Q96GX1,B4URF0,0
P99999,Q0A442,0
P25391,P03452,0
Q96SK2,Q38SR2,0
Q86WZ6,P03428,0
A0A5B6,B4URF6,0
O14979,A8CDU0,0
Q9GZU0,Q20MD1,0
Q9H0I3,Q1K9E2,0
O60658,Q9WPI5,0
Q01851,B4URE7,0
Q8TF44,P03466,0
L0R8F8,Q2F4V2,0
Q12800,Q20MD1,1
P10645,Q1K9E3,0
Q8WV60,Q91U50,0
Q9NRS4,H6QM92,0
P09769,A4ZNP8,0
