ProteinA,ProteinB,Label
Q9NY43,P03495,0
P54107,P03466,0
Q14140,Q0A442,0
Q15878,Q9Q0U8,0
Q96A99,B2BUF1,0
Q96G21,Q30NP4,0
Q6ZYL4,Q20MC8,0
P02808,Q91U50,0
Q86YQ8,A7UPX0,0
Q7L2J0,Q1WDM0,0
P14735,Q8QPK2,0
P10075,Q9WPI5,0
O95229,Q3SBS5,1
Q93062,P03428,1
Q13325,Q9YP60,0
Q8N8A6,P03496,0
Q17RB0,P0DOF4,0
Q9Y330,P04663,0
O95166,Q1K9E2,0
A0A1B0GU71,P0DOF4,0
E9PJ23,Q0A2M3,0
Q9BUJ2,Q33CG5,0
O14654,Q6PNE5,1
Q9UIX4,P04663,0
Q9UBK5,B4URF6,0
Q13555,A4ZNP8,0
Q969U7,Q20MC8,0
Q96C03,Q1K9G9,0
O14979,O56264,1
Q8WTS1,Q1K9H6,0
Q9Y5T4,P03485,0
P54725,P0DOF8,0
O60508,Q20MH3,1
Q86TW2,P30911,0
O75144,O92551,0
Q9HC07,Q20MH3,0
Q5VVP1,Q20MD5,0
Q9Y399,Q1WDM0,0
Q12906,P03496,1
P49863,A8CDU0,0
P20338,O56264,0
Q8IXU6,Q20P38,0
Q17R89,P31343,0
O14520,Q1K9I7,0
Q2Q1W2,Q67020,0
O95402,P03427,0
Q8WZB0,Q6DP94,0
P32239,P30910,0
P21741,Q9YP60,0
S6B2B6,A7UPX0,1
Q8NA23,Q0A2M3,0
Q8TD84,Q20MH3,1
Q562E7,P03485,0
O14979,P03496,1
A4FU69,A4ZNQ2,0
Q8TBC4,A4ZNP8,0
Q5T197,Q2F4V2,0
Q3LHN1,Q20P38,0
O00139,A4ZNP8,0
Q14397,Q1WDM0,0
A0A1B0GVH6,P06827,0
Q9UBU8,Q0A2H1,0
P26439,Q2PJP0,0
Q8TEQ0,Q20MD5,0
P02795,P08276,0
P53384,Q1K9H5,0
Q9H1D9,Q3SBS5,1
P29353,P03495,1
P60604,Q20MH8,1
Q9H668,H6QM92,0
P63132,Q5L4H4,0
Q9HCJ3,Q0A442,0
Q9H0S4,Q38SQ9,0
Q96KJ9,A7UPX0,0
Q0VAM2,Q0HD54,0
Q2NKX8,Q8JSN8,0
Q96JB5,Q9DLK6,0
Q6L8G5,Q8JSN8,0
Q9H320,P03485,0
Q9H9A6,Q82506,0
Q9Y2C3,P30911,0
Q6VB84,Q1K9E2,0
Q9HBB8,H9XIJ5,0
Q7Z6G3,Q1K9E2,0
Q12796,Q20NX5,0
Q8N187,Q1K9H5,0
P00747,Q6DPA0,0
P35270,Q6DPU2,0
Q9P212,Q1WDM0,0
O75936,H6QM92,0
Q86X29,A5Z256,0
Q9Y2V3,Q9YP60,0
Q9UJX5,Q1K9E3,0
Q9H3U5,Q6DNN3,0
Q8N1E2,Q0A2H0,0
Q92753,A0A0X9JHC1,0
Q9UBP8,P68043,0
Q8IYT3,Q01639,0
Q9NY25,C3W5S7,0
P19526,P03468,0
Q9UGM5,P03431,0
Q9H0F5,A5Z256,0
Q70Z53,Q67296,0
Q13535,Q20MH8,1
Q96EH5,P03495,0
Q8TAT6,Q20MD5,0
Q16718,B4URF7,1
P12104,C9S3S8,0
O95801,Q3SBS5,0
Q06481,P03493,0
Q96JH8,Q33CG5,0
Q13609,B2BU63,0
Q6UXT9,Q1K9E2,0
P17027,H9XIJ5,0
Q495M3,P03493,0
Q6ZRI6,Q67296,0
P01210,Q67020,0
Q8NCM2,B4URE7,0
P39210,Q0A442,0
Q9Y6M9,B4URF6,0
Q96JP0,P08276,0
Q9NP86,Q5L4H4,0
P01222,A5Z256,0
Q8NGG2,P03468,0
Q9Y315,Q20MD1,0
Q68CQ4,B4URF0,0
P35368,P31343,0
Q9H0C2,Q9WPI5,1
Q9H1N7,B4URF0,0
P67775,Q1K9H5,1
Q9UJX0,P11133,0
Q96PP4,Q01639,0
P30043,Q99AU3,0
Q5VUY2,Q6DP93,0
Q9Y426,I7CAR2,0
Q96M66,P69277,0
Q9HBF4,Q1K9G9,0
Q99973,P04664,0
Q96KV7,Q20MH8,0
A6NH13,P30911,0
Q9UKN8,A8C8W5,0
Q8NF64,P03437,0
Q05923,Q91U50,0
Q8NCT1,B4URF0,0
A9UHW6,P30911,0
P04435,Q6DPU2,0
Q9BTM1,Q20MD1,0
P25106,Q20MC8,0
P16415,B4URF0,0
Q96KP4,B4URF6,0
A0A0G2JMI3,P04664,0
Q7Z7L8,Q3SBS5,0
Q06187,Q9Q0U7,0
Q9UKV5,Q3SBS5,0
O43760,P03431,0
Q5TEA3,B2BUI7,0
P0DPQ6,Q20MH4,0
O00230,Q8JSN6,0
Q32MZ4,Q0A442,0
Q08170,Q0A442,0
O15226,Q20MH3,1
Q9Y3F4,H6QM92,0
P62750,A4ZNQ3,1
Q0D2K0,B4URF6,0
Q9HDB9,P03427,0
P62312,Q1K9H5,0
Q96FB5,P03508,0
