iter	Logloss
0	0.667540586
1	0.6436184431
2	0.6198304125
3	0.5962257904
4	0.5740073176
5	0.5553890208
6	0.5363603672
7	0.5182088662
8	0.5018667615
9	0.4848742471
10	0.4679210839
11	0.4529838405
12	0.4392184777
13	0.4265481961
14	0.4144272849
15	0.4021164759
16	0.3913382081
17	0.379444924
18	0.3704578104
19	0.3593126918
20	0.3490083383
21	0.3395120661
22	0.3309999345
23	0.3228433858
24	0.3153322095
25	0.3076891148
26	0.2990579395
27	0.2925268378
28	0.2859973066
29	0.2797542646
30	0.2739768492
31	0.2680377811
32	0.2626133377
33	0.2570693443
34	0.2524248619
35	0.2476435818
36	0.2429383325
37	0.2386201675
38	0.2339859066
39	0.2302383684
40	0.226494645
41	0.223041179
42	0.2194131787
43	0.2158698664
44	0.2123346313
45	0.2081634649
46	0.2050916859
47	0.2024660341
48	0.199541301
49	0.1968226639
50	0.1940457492
51	0.1914942511
52	0.1891666264
53	0.1871224591
54	0.1848895373
55	0.1827552445
56	0.1808380203
57	0.1789795282
58	0.1772714939
59	0.1756878958
60	0.1740281612
61	0.1725612192
62	0.1709601138
63	0.1693787924
64	0.1679272653
65	0.1664307294
66	0.1651997586
67	0.1639088289
68	0.162771707
69	0.1615481872
70	0.1605330571
71	0.1592738457
72	0.1582066654
73	0.1571706524
74	0.1562042781
75	0.1551039579
76	0.154218728
77	0.1532529356
78	0.152156821
79	0.1510072934
80	0.1503057986
81	0.1495220875
82	0.1488024851
83	0.1480945441
84	0.1473661534
85	0.1466975943
86	0.1460300059
87	0.145303605
88	0.1446969839
89	0.144112599
90	0.1435051791
91	0.1428613912
92	0.1422571339
93	0.1415070014
94	0.1410282221
95	0.1404602082
96	0.1400176643
97	0.1393879264
98	0.13881773
99	0.1382327611
100	0.13758146
101	0.1371495184
102	0.1366522192
103	0.1362747778
104	0.1359118225
105	0.1354576714
106	0.1349341358
107	0.1345171618
108	0.1342298972
109	0.1339575032
110	0.133531866
111	0.1331478654
112	0.132698388
113	0.1323347819
114	0.1319182134
115	0.1315027601
116	0.1311083971
117	0.1307917606
118	0.1302946433
119	0.1299987883
120	0.1295848417
121	0.1292390544
122	0.1289413995
123	0.1285874664
124	0.1282954965
125	0.1279702666
126	0.1276251946
127	0.1272559033
128	0.1268688709
129	0.1264602781
130	0.1261712407
131	0.1257897402
132	0.1255246591
133	0.1252829367
134	0.125096549
135	0.1248585536
136	0.1245669226
137	0.12431633
138	0.1240294991
139	0.1238405861
140	0.1236150668
141	0.1234111529
142	0.1230535163
143	0.1228282663
144	0.1225292731
145	0.1222759728
146	0.1219436002
147	0.1216979626
148	0.1215680181
149	0.1213760886
150	0.121188473
151	0.1209143213
152	0.1206020919
153	0.1204639107
154	0.1201119324
155	0.1198713216
156	0.1197324653
157	0.1195337941
158	0.1192255401
159	0.1189692227
160	0.1186913969
161	0.1185266596
162	0.1183609529
163	0.1180851996
164	0.1179136826
165	0.1177788709
166	0.117496516
167	0.1172014217
168	0.1170254392
169	0.1168080694
170	0.1165681424
171	0.1163894988
172	0.1162377162
173	0.1160175623
174	0.1157578996
175	0.1155528993
176	0.1154301651
177	0.115238002
178	0.115132801
179	0.114937197
180	0.1147113189
181	0.1144645442
182	0.114289698
183	0.1140683661
184	0.1138957522
185	0.1137577706
186	0.1136250501
187	0.113356488
188	0.1131728024
189	0.1130099044
190	0.1128226131
191	0.1126456367
192	0.1125116307
193	0.1123589417
194	0.1121973461
