iter	Passed	Remaining
0	3	3381
1	6	3257
2	9	3208
3	13	3307
4	16	3263
5	19	3220
6	22	3224
7	25	3205
8	28	3171
9	31	3136
10	34	3124
11	37	3108
12	40	3099
13	45	3196
14	49	3243
15	52	3217
16	55	3196
17	60	3296
18	63	3278
19	66	3264
20	69	3253
21	72	3239
22	75	3226
23	79	3220
24	82	3211
25	85	3197
26	89	3208
27	92	3194
28	94	3179
29	97	3167
30	100	3154
31	104	3149
32	107	3139
33	110	3127
34	113	3121
35	116	3113
36	119	3104
37	122	3094
38	125	3086
39	128	3075
40	131	3070
41	134	3064
42	137	3055
43	140	3047
44	143	3041
45	146	3034
46	149	3024
47	152	3016
48	155	3010
49	158	3003
50	161	2996
51	163	2988
52	166	2982
53	169	2976
54	172	2970
55	175	2965
56	178	2960
57	181	2955
58	185	2953
59	188	2948
60	191	2941
61	193	2934
62	196	2928
63	199	2923
64	202	2919
65	205	2912
66	208	2907
67	211	2904
68	214	2900
69	217	2894
70	220	2890
71	223	2884
72	226	2880
73	229	2874
74	232	2868
75	235	2864
76	238	2860
77	241	2858
78	244	2855
79	247	2850
80	250	2847
81	253	2843
82	256	2836
83	259	2832
84	262	2831
85	266	2827
86	268	2822
87	271	2817
88	274	2811
89	277	2810
90	280	2804
91	283	2799
92	286	2792
93	289	2788
94	292	2782
95	294	2777
96	297	2771
97	300	2767
98	303	2762
99	306	2758
100	309	2755
101	312	2750
102	315	2746
103	318	2741
104	321	2738
105	324	2735
106	327	2730
107	330	2725
108	333	2722
109	335	2717
110	338	2713
111	341	2710
112	344	2706
113	348	2705
114	351	2702
115	354	2700
116	357	2696
117	360	2693
118	363	2693
119	367	2695
120	370	2692
121	373	2688
122	377	2689
123	380	2685
124	383	2682
125	386	2680
126	389	2678
127	392	2675
128	395	2673
129	400	2683
130	410	2719
131	417	2745
132	424	2769
133	427	2765
134	430	2760
135	434	2757
136	437	2754
137	440	2751
138	443	2747
139	446	2743
140	449	2739
141	452	2736
142	455	2732
143	458	2727
144	461	2722
145	464	2717
146	467	2713
147	470	2709
148	486	2777
149	492	2788
150	497	2799
151	505	2818
152	509	2821
153	512	2816
154	515	2812
155	519	2808
156	522	2806
157	525	2801
158	528	2797
159	532	2794
160	535	2789
161	538	2783
162	541	2779
163	544	2776
164	548	2773
165	551	2768
166	554	2766
167	557	2762
168	560	2758
169	563	2753
170	566	2748
171	569	2742
172	572	2737
173	575	2732
174	578	2728
175	582	2725
176	585	2720
177	588	2717
178	591	2713
179	594	2708
180	597	2703
181	600	2698
182	603	2695
183	606	2691
184	609	2686
185	612	2681
186	615	2676
187	618	2673
188	621	2668
189	624	2664
190	628	2659
191	631	2655
192	634	2651
193	636	2645
194	639	2641
195	642	2637
196	645	2632
197	648	2628
198	651	2623
199	654	2619
200	657	2614
201	660	2610
202	663	2606
203	666	2602
204	669	2597
205	672	2593
206	676	2590
207	679	2586
208	682	2582
209	685	2579
210	688	2574
211	691	2569
212	694	2564
213	697	2560
214	700	2556
215	703	2552
216	706	2548
217	709	2544
218	712	2540
219	715	2536
220	718	2532
221	721	2528
222	724	2523
223	727	2519
224	730	2515
225	733	2511
226	736	2507
227	739	2503
228	742	2499
229	745	2494
230	747	2489
231	750	2485
232	753	2480
233	756	2476
234	759	2472
235	762	2468
236	765	2464
237	768	2461
238	771	2457
239	774	2453
240	777	2449
241	780	2445
242	783	2441
243	786	2437
244	789	2433
245	792	2428
246	795	2425
247	798	2421
248	801	2417
249	804	2413
250	807	2409
251	810	2405
252	813	2401
253	816	2397
254	819	2393
255	822	2389
256	825	2385
257	828	2381
258	831	2377
259	834	2373
260	837	2371
261	840	2368
262	843	2364
263	846	2360
264	849	2357
265	852	2353
266	855	2349
267	859	2346
268	862	2342
269	866	2342
270	871	2343
271	874	2340
272	877	2336
273	881	2334
274	884	2330
275	887	2327
276	890	2324
277	893	2320
278	901	2329
279	904	2326
280	907	2322
281	910	2319
282	914	2316
283	916	2311
284	919	2307
285	923	2304
286	926	2300
287	929	2296
288	932	2292
289	934	2288
290	937	2285
291	940	2280
292	943	2277
293	946	2273
294	949	2269
295	952	2265
296	955	2261
297	958	2258
298	961	2254
299	964	2250
300	967	2247
301	970	2242
302	973	2238
303	976	2234
304	979	2231
305	982	2227
306	984	2223
307	987	2219
308	990	2215
309	993	2211
310	996	2208
311	999	2204
312	1002	2201
313	1006	2198
314	1009	2195
315	1012	2191
316	1015	2188
317	1018	2184
318	1021	2181
319	1024	2177
320	1027	2173
321	1030	2169
322	1033	2166
323	1036	2162
324	1039	2159
325	1042	2155
326	1045	2151
327	1048	2147
328	1051	2143
329	1054	2140
330	1057	2137
331	1060	2134
332	1063	2130
333	1066	2127
334	1069	2123
335	1072	2120
336	1076	2116
337	1079	2113
338	1082	2110
339	1085	2106
340	1087	2102
341	1090	2098
342	1094	2095
343	1097	2092
344	1100	2088
345	1103	2085
346	1106	2081
347	1109	2078
348	1112	2074
349	1114	2070
350	1117	2067
351	1120	2063
352	1123	2059
353	1126	2056
354	1129	2052
355	1132	2048
356	1135	2045
357	1138	2041
358	1141	2038
359	1144	2034
360	1147	2030
361	1150	2026
362	1153	2023
363	1156	2019
364	1159	2016
365	1162	2013
366	1165	2009
367	1168	2006
368	1171	2002
369	1174	1999
370	1177	1996
371	1180	1992
372	1183	1988
373	1186	1985
374	1188	1981
375	1191	1978
376	1195	1974
377	1197	1971
378	1200	1967
379	1203	1964
380	1206	1960
381	1209	1957
382	1212	1953
383	1215	1950
384	1218	1946
385	1221	1943
386	1224	1939
387	1227	1936
388	1230	1933
389	1234	1930
390	1237	1926
391	1241	1926
392	1250	1931
393	1257	1934
394	1265	1939
395	1269	1935
396	1272	1932
397	1275	1928
398	1278	1925
399	1281	1921
400	1284	1918
401	1286	1914
402	1289	1910
403	1292	1907
404	1295	1903
405	1299	1900
406	1302	1898
407	1306	1895
408	1309	1892
409	1312	1888
410	1315	1885
411	1318	1881
412	1321	1877
413	1324	1874
414	1327	1870
415	1330	1867
416	1333	1864
417	1336	1860
418	1339	1857
419	1342	1853
420	1345	1850
421	1348	1847
422	1351	1843
423	1354	1840
424	1357	1836
