Node,Hub Score,Authority Score,Spectrum,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Harmonic Centrality,Personalized PageRank (Alpha=0.5),Closeness in Closeness Centrality,Adjusted Closeness Centrality,Weighted Closeness Centrality,Average Neighbor Degree Centrality,Clustering Centrality,Core Number Centrality,Directed Eigenvector Centrality
Q9BQT8,5.672263040387487e-18,-7.538669610337346e-17,5.74755964333983,0.0001866019779809666,0.0,0.003193226348199291,0.0004823520213580414,18.083333333333332,0.00023199896652380497,0.4625,0.4625,0.4625,33.0,0,1,-8.975827074345424e-17
O14578,1.081550683187645e-05,5.802679161362254e-06,-5.747559643339828,0.0001866019779809666,0.0,0.006287490402647218,0.00044921621430324686,46.85043290043296,0.00022692147755639758,0.14217156568686262,0.14217156568686262,0.14217156568686262,34.0,0,1,6.598090635054727e-05
O60573,-2.257646453961858e-19,-2.2362760130064635e-18,6.635330627641218,0.0001866019779809666,0.0,0.0007961684393854575,0.0005238551919339912,4.5,0.00024364878844137714,0.5333333333333333,0.5333333333333333,0.5333333333333333,8.0,0,1,4.723314415318027e-18
Q99623,0.0009369977681312748,0.0005027131421387695,6.76058628055998,0.0001866019779809666,0.0,0.00844580701145279,0.00046393925375363005,53.471428571428575,0.00022967639207427398,0.1909750201450443,0.1909750201450443,0.1909750201450443,21.0,0,1,0.005716233455865736
Q9UDY4,0.0,9.809932290562074e-20,1.9913709213130946,0.0,0.0,0.0,0.00013295081340556302,0.0,0.00017421396278391633,0.0,0.0,0.0,0.0,0,0,-5.396628335610938e-19
P06280,2.1461195734478773e-19,8.997587545478148e-19,-6.635330627641221,0.0001866019779809666,0.0,0.0008891035421446056,0.0005183334292988827,5.0,0.00024204912253785886,0.5294117647058824,0.5294117647058824,0.5294117647058824,9.0,0,1,-3.951853448204415e-19
Q14203,1.8085886527339807e-05,9.703345252172542e-06,-6.760586280559978,0.0001866019779809666,0.0,0.007958425589379583,0.00044381044339876903,55.939682539682586,0.0002247604346373417,0.17995444191343962,0.17995444191343962,0.17995444191343962,39.0,0,1,0.00011033446733345407
Q9NVI1,0.0009809996327695076,0.0005263207924284568,5.781455582453985,0.0003732039559619332,0.0009776578435762775,0.010491738239452366,0.0008054785899357604,65.6666666666666,0.00028717878565127496,0.23723723723723725,0.23723723723723725,0.23723723723723725,22.5,0,2,0.005984670520840609
Q8IUD2,2.8901393359216256e-05,1.5506024413526526e-05,5.402599781594361,0.0003732039559619332,5.6558718223421013e-05,0.008311852895490019,0.0007600758442964529,63.356349206349236,0.000277467949409823,0.1879460745440127,0.1879460745440127,0.1879460745440127,36.5,0,2,0.00017631537368400715
Q8N3C7,0.0,-1.944467514978586e-19,-1.9913709213130963,0.0,0.0,0.0,0.00013295081340556302,0.0,0.00017421396278391633,0.0,0.0,0.0,0.0,0,0,1.3400662556320545e-18
O43169,0.0005475776102292937,0.00029378347565566426,2.8284271247461916,0.0001866019779809666,0.0,0.005787546383883442,0.00048498856338089716,41.25212842712848,0.00023407491378817736,0.13086692435118719,0.13086692435118719,0.13086692435118719,18.0,0,1,0.0033405431279930043
Q9Y312,5.672263040387487e-18,-7.100066964302867e-17,4.920045084003488,0.0001866019779809666,0.0,0.003193226348199291,0.0004823520213580414,18.083333333333332,0.00023199896652380497,0.4625,0.4625,0.4625,33.0,0,1,-9.386641803074573e-17
Q15154,0.0,-4.4074319033508216e-20,-5.78145558245397,0.0,0.0,0.0,0.00013295081340556302,0.0,0.00017421396278391633,0.0,0.0,0.0,0.0,0,0,-1.1229704239330484e-18
Q92616,0.0,-9.567247065905162e-19,-5.402599781594352,0.0,0.0,0.0,0.00013295081340556302,0.0,0.00017421396278391633,0.0,0.0,0.0,0.0,0,0,7.09645467032658e-19
Q9H7F0,-2.6796028079936778e-18,1.2486217437451874e-17,-2.8284271247461943,0.0001866019779809666,0.0,0.0018511457091010383,0.0005200509359735962,10.833333333333334,0.0002504161471886603,0.26811594202898553,0.26811594202898553,0.26811594202898553,4.0,0,1,-1.2081458781788509e-17
P78406,0.0,3.7121781653015687e-19,4.545769708773292,0.0,0.0,0.0,0.00013295081340556302,0.0,0.00017421396278391633,0.0,0.0,0.0,0.0,0,0,9.586187069803928e-19
Q14146,0.0,-5.544778757145353e-19,4.116806546503179,0.0,0.0,0.0,0.00013295081340556302,0.0,0.00017421396278391633,0.0,0.0,0.0,0.0,0,0,-2.0377391739354718e-19
P13861,1.081550683187645e-05,5.802679161373395e-06,4.237617643157416,0.0001866019779809666,0.0,0.006287490402647218,0.00044921621430324686,46.85043290043296,0.00022692147755639758,0.14217156568686262,0.14217156568686262,0.14217156568686262,34.0,0,1,6.598090635053564e-05
Q99996,1.081550683187645e-05,5.802679161367318e-06,3.310771998706286,0.0001866019779809666,0.0,0.006287490402647218,0.00044921621430324686,46.85043290043296,0.00022692147755639758,0.14217156568686262,0.14217156568686262,0.14217156568686262,34.0,0,1,6.598090635054089e-05
P07237,0.0,7.134055369488566e-19,-4.920045084003495,0.0,0.0,0.0,0.00013295081340556302,0.0,0.00017421396278391633,0.0,0.0,0.0,0.0,0,0,-1.1275812505616688e-18
Q06787,0.0009369977681312748,0.0005027131421387675,4.795831523312735,0.0001866019779809666,0.0,0.00844580701145279,0.00046393925375363005,53.471428571428575,0.00022967639207427398,0.1909750201450443,0.1909750201450443,0.1909750201450443,21.0,0,1,0.005716233455865726
Q7Z4H8,0.007912154572606854,0.0042449877913962805,4.358898943540675,0.0001866019779809666,0.0,0.007183856409330304,0.00045690519763471303,51.753968253968296,0.00022786384395736626,0.16244002741603839,0.16244002741603839,0.16244002741603839,36.0,0,1,0.04826876243912235
