ProteinA,ProteinB,Label
P01780,P0DTD1-PRO_0000449633,0.0
Q9H777,P0DTC6,0.0
Q9HAV7,P0DTD1-PRO_0000449628,1.0
Q9NPA2,P0DTD1-PRO_0000449620,0.0
Q8N365,P0DTC7,0.0
Q86YV6,P0DTC4,0.0
Q86TG1,P0DTD1-PRO_0000449624,0.0
Q9Y3E7,P0DTC7,0.0
A0A0B4J1V7,P0DTD1-PRO_0000449628,0.0
O43603,P0DTD1-PRO_0000449627,0.0
Q969V5,P0DTD1-PRO_0000449631,0.0
Q8NBN3,P0DTD1-PRO_0000449630,0.0
P0DOX4,P0DTD1-PRO_0000449632,0.0
Q9NZL4,P0DTD1-PRO_0000449621,0.0
Q9UHN1,P0DTD1-PRO_0000449625,0.0
P11441,P0DTC2,0.0
Q9HAV7,P0DTC3,0.0
Q5VYS8,P0DTD1-PRO_0000449627,0.0
O60336,P0DTC3,0.0
Q9H446,P0DTC2,0.0
Q8NGU1,P0DTC3,0.0
Q4JDL3,P0DTC4,0.0
Q9BU23,P0DTD1-PRO_0000449633,0.0
Q8NB66,P0DTC3,0.0
P22105,P0DTD1-PRO_0000449624,0.0
O95837,P0DTD1-PRO_0000449623,0.0
Q9H2A9,P0DTD1-PRO_0000449624,0.0
O15067,P0DTD1-PRO_0000449623,0.0
Q96HI0,P0DTC9,0.0
Q8N5J4,P0DTD1-PRO_0000449633,0.0
Q86Y28,P0DTD1-PRO_0000449633,0.0
Q9NP72,P0DTD1-PRO_0000449625,1.0
Q92737,P0DTD1-PRO_0000449623,0.0
Q5VZ52,P0DTD1-PRO_0000449628,0.0
P25791,P0DTD1-PRO_0000449632,0.0
Q6B0K9,P0DTD1-PRO_0000449624,0.0
A4D0T2,P0DTD1-PRO_0000449624,0.0
O43684,P0DTD1-PRO_0000449624,0.0
P28340,P0DTD1-PRO_0000449628,1.0
Q9UP95,P0DTD1-PRO_0000449632,0.0
P61019,P0DTD1-PRO_0000449625,1.0
P23219,P0DTD1-PRO_0000449625,0.0
P31151,P0DTD1-PRO_0000449622,0.0
Q96QT6,P0DTD1-PRO_0000449619,0.0
Q969Z4,P0DTC8,0.0
Q96NU7,P0DTC3,0.0
Q12800,P0DTC4,0.0
Q69YU5,P0DTD1-PRO_0000449627,0.0
